adhesive,immunomodulatory,myofibroblastic,neurotropic
NFATC2,SLC22A3,ADAMTS12,SCN7A
EMP1,XKR4,CASC15,NFIA
MIR222HG,ANKRD29,POSTN,C7
SAMD4A,SLCO2B1,NTM,PID1
LMNA,LAMA3,LINC01429,C1orf21
GPRC5A,ABCC3,NREP,MAMDC2
MMP19,LAMC2,PDGFC,CLMN
MEDAG,GRIN2B,LEF1,PREX2
NFATC1,RBM47,NUAK1,MTUS1
TSC22D2,NOL4,COL1A1,ADAMTS9-AS2
LRRFIP1,CP,KIF26B,KCNIP1
RFX2,KEL,NOX4,LAMA2
PFKP,ZNF804B,FN1,EBF1
PTPRJ,TNC,SULF1,ABCA6
ANKRD28,ACTB,COL1A2,NID1
CAV1,TMEM108,WNT5A,EPHA3
TEX26-AS1,TMEM178B,COL3A1,IL1RAPL1
CDH2,CCL21,COL11A1,TMEM132C
ANXA2,ABCB11,CDH11,SPTBN1
CTNNAL1,SLCO2A1,NKD1,ADAMTSL3
SLC19A2,IL15,DOCK4,NEGR1
CRY1,FDCSP,PLPP4,AC016831.7
CNN1,MUSK,MMP11,SLC9A9
SYN3,PLA2G4C,ADAMTS14,MIR99AHG
ANXA5,ATP8A1,ADAMTS6,ZBTB20
TES,ADGRL3,FAP,SRPX
LHFPL2,LIFR,RUNX2,ABCA8
LMCD1,NPY1R,RUNX1,TGFBR3
ERRFI1,ARHGAP15,MGAT5,ABCA10
UGP2,CTSS,SNTB1,PTEN
LMCD1-AS1,RASGEF1B,KIAA1549L,ZBTB16
IQCJ-SCHIP1,BIRC3,CTHRC1,RHOBTB3
ACSL4,NRG2,LINC00578,SLIT2
ZSWIM6,JUN,RNF144A,PDK4
DDAH1,LPAR1,ENC1,FREM1
PTPN1,EXOC3L4,SYTL2,SOX6
ABL2,PTPRF,ITGA1,CACNA1D
ESYT2,CR2,DCBLD1,ABI3BP
GFPT2,CHL1,COL10A1,HMGCLL1
ATP13A3,EGR1,CALD1,AOX1
BAIAP2,ANO9,CARMN,MAPK10
GLIS3,SLCO1A2,CHST11,SSH2
ERCC1,ZFP36L2,PDZD2,KAZN
CD44,OSMR,ANTXR1,ARHGAP10
ENAH,EDNRB,GREM1,AFF3
SERPINE1,PTMA,INHBA,ARHGAP6
CLIC4,PLD5,NPR3,ABLIM1
ATP10A,EHBP1L1,GRIP1,PTPRG
FNIP2,TIMM23B,SLC6A6,ADGRD1
MYOF,TRAF1,FBXO32,SPARCL1
NEDD9,TAGLN,FGD6,FKBP5
FOSL1,RASGEF1A,SALL4,ABCA9
RTN4,EEF1A1,KCND2,ANKS1B
COBL,CACNA2D3,ITGA11,COL21A1
MYH10,ADRA1A,MIR181A1HG,FRMD3
FOSB,S1PR3,ACTA2,IMMP2L
KDM6B,IER3,LAMA4,CELF2
CAPN2,PLCXD3,APBB2,ADD3
ANXA1,SLC26A7,EDNRA,CCNH
YWHAZ,IRF8,FUT8,HAND2-AS1
RGCC,NFAM1,BICD1,DSCAML1
EGFR,PDE4B,MBOAT2,TFPI
HIF1A,SORL1,PALM2-AKAP2,NR2F2-AS1
SH3RF1,ACHE,SUGCT,BOC
ELL2,SLC26A3,HIP1,ADGRB3
KLF6,TPM4,VSNL1,PDE1A
WEE1,CDH1,ENTPD1,MKLN1
S100A10,CTSH,SGIP1,NFIB
P4HA3,PAPLN,EEPD1,PBX1
HOMER1,SDK1,KANK4,FBLN5
TRIB1,DAPK2,FRMD5,CPED1
ADAM12,ACTG1,PPFIBP1,HIF3A
ITGA5,DEPTOR,FOXP1,PIK3R1
SLC7A1,CYSLTR2,ADAM19,TENM2
KCNMA1,DTNA,SIPA1L1,COL4A4
TUBB6,COL27A1,FARP1,SESN3
HRH1,CXCL12,PTK7,ITPR1
GEM,TNFAIP2,NHSL1,DLG2
GPR176,NR4A1,VCAN,FBLN1
PCGF5,LINC01197,HMGA2,SSBP2
MICAL2,CR1,EPSTI1,GPHN
PER2,CSF2RB,CDK6,ADAMTS3
ST6GALNAC5,VCAM1,SPATS2L,SAMHD1
DOK5,TMSB4X,PALLD,KCTD3
LOX,LMF1,STAMBPL1,LINC01088
COL12A1,OCA2,RASGRF2,NEURL1B
TIMP3,RPS9,MYH9,RUNX1T1
ACTN4,TNFRSF1B,ARHGAP31,GPC5
FLNB,THBS1,CDKL5,SOX5
CRIM1,LDLR,TPM1,ADGRL2
PMEPA1,PTPRT,ATXN1,AFF1
EFHD2,MYO16,PTPRE,NOVA1
S100A6,EBF3,ZEB1,PARD3
PXDC1,TLR1,FAM168A,GFRA1
MYO1B,C1RL-AS1,ST6GAL2,CCND3
TAOK3,FOS,COL5A1,FAM13A
MLF1,SERPINB9,FNDC1,MFSD6
UAP1,COL23A1,PLXNC1,RGL1
CORO1C,GNA14,EIF4G3,SETBP1
TIPARP,PKP2,ANO1,GHR
ITGB1,FTH1,LRIG3,DYNC1I1
DENND5A,SAT1,TCF4,CCDC102B
MEF2A,NCEH1,HOXB3,SPATA6
RNF149,TNFAIP3,APBA2,NSF
MKL1,JUND,GULP1,DCN
MYO9B,TPT1,HECW1,LDLRAD3
EXT1,KIAA1671,TLN2,DCLK1
GLUD1,PNISR,SPIN1,RNF13
FNDC3B,PCOLCE2,IRS1,RORA
GADD45B,FGF7,SPON2,NLGN1
NUP153,ITIH5,NXN,CECR2
HMGA1,UBC,TSC22D1,FOXO3
FGFR1,HDAC9,TENM4,COL4A1
FHL2,CYR61,GRIK2,UTRN
ARC,ADAMTSL1,NPAS2,PIAS1
CBLB,GRIA4,STX7,COL4A3
MBNL2,GARNL3,BCAT1,CACNB2
ACTN1,IL4R,PRICKLE1,COL4A2
FAM155A,SPNS2,ZNF521,FIGN
FSIP1,NBEAL2,ZNF532,FMNL2
GATAD2A,ZFP36,KLHL2,SOBP
CREB5,PNRC1,ITGB5,EGFR
SIK3,PARP14,TNFRSF19,TGFBR2
KALRN,TXNIP,ARMC9,FAM102B
CDK17,STRIP2,TNS3,DPYD
ITPKC,SVEP1,GFPT1,FAM135A
PDLIM5,FADS1,MRVI1,PPP1CB
PSME4,PLXNA4,WNK1,IRAK3
NCS1,SLC2A3,MANBA,TMEM144
MBNL1,LINGO1,TBL1XR1,MGST1
CAMK1D,C7,MIR4435-2HG,LAMB1
SGK1,PRRC2C,DNAJC15,ADCY3
RAB11A,DAAM1,SCN8A,PODN
PLAT,CLSTN3,TWIST1,ADH1B
RPS6KA3,CCL19,COG6,PLSCR4
FLNC,INO80D,PCED1B,ABTB2
YWHAG,ATP8B4,C9orf3,ALDH1A1
ITGAV,ALPK1,MAP3K4,PAK3
MAP2K3,NOVA1,SMC6,NBEA
IL1R1,COL4A4,DIO2,ITM2B
ADAM17,PITPNC1,TTC3,TNRC6B
HIF1A-AS2,PCDH11X,ZMYM4,TRERF1
PITPNM2,RPS11,SAMD3,STXBP4
TNFRSF12A,APBB1IP,STARD4-AS1,PRKCH
HEG1,TNFSF10,WWC1,SLC8A1
IQGAP1,RPS6KL1,UNC5B,PITPNC1
VGLL3,PDE1C,LINC01060,CALCRL
TP53BP2,GAPDH,DGKI,C1S
PLEKHA7,NFKBIA,BBX,MT1X
AXL,CD82,SSH1,JADE1
PHF20,TLE2,KCNQ1OT1,PTPRK
KIF1B,SRRM2,GXYLT2,PDE7B
LPP,TMEM176B,GPR63,ACACB
MCL1,C3,F13A1,OGFRL1
PPP1R12B,PYHIN1,WLS,CLIP4
ASAP2,HMCN2,PLS3,GAB1
GLS,RPS8,SLC24A2,PLEKHA5
ATP1A1,RPL13,EPC1,SMIM14
CLIP1,RPL10,KIFAP3,TXNIP
TRIO,IRF3,COL7A1,NCOA1
LINC00968,SMAP2,VGLL4,RBMS1
ATP2B4,ADGRE5,PDZRN3,SDCCAG8
PTPN14,PER1,PRDM1,STK24
RYBP,PLEC,COL8A1,FOXP2
HECTD2,ZDHHC14,ISM1,ABCA9-AS1
ADAM9,PHPT1,ZNF609,COLGALT2
RAI14,EPHB1,CLCN3,KDM6A
UCHL3,FAM189A1,ADAM22,PTPN13
DDX21,RPLP0,ACVR1,MATN2
XYLT1,TXNRD1,TMEM45A,CD47
GREB1L,LINC00092,PRDM6,ARHGAP26
TGFBR1,SPATA6L,ETV6,MBP
KPNA4,EEF2,AEBP1,DANT2
DMD,ABHD17C,TANC2,KIF5C
PDZRN4,ART4,SRPK2,CNKSR2
IPO7,NFKB2,DDR2,KCNT2
SEPT9,ARRDC3,WIPF1,ABCC9
YBX3,HNMT,PRKD1,RALGAPA1
RAMP1,CLU,SPATS2,IL6ST
IGF2BP2,SPIC,RFX8,ECHDC2
LDHA,TOM1L1,MSC-AS1,SYNPO2
ATP11A,FTL,MMP14,TBC1D5
PCDH7,MYL6,ZNF292,ELMO1
PRKCA-AS1,RPS2,IGFBP5,GFOD1
SERTAD2,DOCK8,ANO4,MARCH2
DENND4A,COLQ,MAML3,FLRT2
WISP1,GAK,RAI14,KLF12
IL6R,KLHL25,HECW2,RBM26
HIPK2,SORCS1,PRR5L,KCNN3
HIVEP2,PLXNB2,MDFIC,PDE3A
ACLY,SLC9A9,PCCA,NAALADL2
PLAUR,AHNAK,ETV1,INSR
ANO6,DDX24,SIPA1L3,AUH
CTNNA1,IL34,CAMK4,PLCL2
PDLIM3,EPAS1,VEZT,CDON
CAV2,FLNB,UHRF2,PTPN12
MSRB3,SLIT3,GUCY1A2,PRKAG2
MTHFD1L,EPHA2,PHF21A,ADAMTS15
COBLL1,ETS2,GPC6,OAF
DPYSL3,FAM20A,NBAT1,KLHL13